식품명,총개수,유효개수,제거개수,대표행 필터통과
장어탕,6,0,6,FALSE
절임배추,6,0,6,FALSE
참치김치찌개,6,0,6,FALSE
찹쌀고추장,6,0,6,FALSE
초코다쿠아즈,6,0,6,FALSE
카페라떼,6,0,6,FALSE
콤부차 레몬,6,0,6,FALSE
크랜베리 베이글,6,0,6,FALSE
키위스무디,6,0,6,FALSE
파육개장,6,0,6,FALSE
팥양갱,6,0,6,FALSE
플레인 버터바,6,0,6,FALSE
플레인치아바타,6,0,6,FALSE
홍삼캔디,6,0,6,FALSE
버터쿠키,19,14,5,FALSE
블루베리머핀,13,8,5,FALSE
불고기버거,10,5,5,FALSE
약과쿠키,10,5,5,TRUE
청국장찌개,10,5,5,TRUE
레몬케이크,9,4,5,FALSE
레몬파운드,9,4,5,TRUE
모카번,9,4,5,TRUE
스모크햄,9,4,5,FALSE
코코넛쿠키,9,4,5,TRUE
무화과파운드,8,3,5,TRUE
생크림케이크,8,3,5,TRUE
치즈머핀,8,3,5,FALSE
통새우버거,8,3,5,FALSE
갈비만두,7,2,5,FALSE
어니언 베이글,7,2,5,TRUE
콘브레드,7,2,5,FALSE
다크생초콜릿,6,1,5,FALSE
다크초콜릿,6,1,5,FALSE
딸기마카롱,6,1,5,FALSE
땅콩맛전병,6,1,5,FALSE
생소면,6,1,5,FALSE
소고기죽,6,1,5,FALSE
스콘,6,1,5,FALSE
쌀강정,6,1,5,FALSE
아욱된장국,6,1,5,FALSE
약과 휘낭시에,6,1,5,TRUE
양장피,6,1,5,FALSE
오트밀쿠키,6,1,5,FALSE
유기농 레몬생강즙,6,1,5,FALSE
인절미마카롱,6,1,5,FALSE
자색고구마칩,6,1,5,FALSE
전주비빔,6,1,5,FALSE
중화면,6,1,5,FALSE
참깨강정,6,1,5,FALSE
참치김치김밥,6,1,5,FALSE
참향기름,6,1,5,FALSE
초코 마들렌,6,1,5,FALSE
초코시트,6,1,5,TRUE
티라미수케이크,6,1,5,FALSE
팥빵,6,1,5,FALSE
플레인 소금빵,6,1,5,FALSE
플레인머핀,6,1,5,FALSE
호두아몬드율무차,6,1,5,FALSE
호밀빵,6,1,5,TRUE
흑임자 쿠키,6,1,5,FALSE
bibigo 비비고 사골곰탕,5,0,5,FALSE
간장새우장,5,0,5,FALSE
감자빵(생지),5,0,5,FALSE
감자샐러드,5,0,5,FALSE
개나리콘,5,0,5,FALSE
고구마말랭이,5,0,5,FALSE
고려홍삼절편,5,0,5,FALSE
고소한참기름,5,0,5,FALSE
고추장불고기,5,0,5,FALSE
곱창전골,5,0,5,FALSE
궁채장아찌,5,0,5,FALSE
깜빠뉴,5,0,5,FALSE
꿀생강차,5,0,5,FALSE
낙지김치죽,5,0,5,FALSE
노니원액,5,0,5,FALSE
녹차쿠키,5,0,5,FALSE
누네띠네,5,0,5,FALSE
닭가슴살 샐러드,5,0,5,FALSE
돼지갈비,5,0,5,FALSE
들향기름,5,0,5,FALSE
딸기베이스,5,0,5,FALSE
딸기스무디,5,0,5,FALSE
땅콩캬라멜,5,0,5,FALSE
떡볶이소스,5,0,5,FALSE
라이스버미셀리,5,0,5,FALSE
레몬마카롱,5,0,5,FALSE
마늘 바게트,5,0,5,FALSE
마라떡볶이,5,0,5,FALSE
망고푸딩,5,0,5,FALSE
머랭쿠키,5,0,5,FALSE
명란마요,5,0,5,FALSE
모듬전,5,0,5,FALSE
미역국,5,0,5,FALSE
배추김치,5,0,5,FALSE
복숭아잼,5,0,5,FALSE
부추전,5,0,5,FALSE
생강차,5,0,5,FALSE
샤브샤브용당면,5,0,5,FALSE
소갈비찜,5,0,5,FALSE
소고기버섯죽,5,0,5,FALSE
소금빵(냉동),5,0,5,FALSE
소내장탕,5,0,5,FALSE
소불고기김밥,5,0,5,FALSE
소프트바게트,5,0,5,FALSE
솔티카라멜 휘낭시에,5,0,5,FALSE
순살닭볶음탕,5,0,5,FALSE
