식품명,총개수,유효개수,제거개수,대표행 필터통과
과ㆍ채주스_키위 주스,4,1,3,FALSE
국수_열무김치,4,1,3,FALSE
김치국,4,1,3,FALSE
김치만두,4,1,3,FALSE
김치전,4,1,3,FALSE
김치찌개_돼지고기,4,1,3,FALSE
닭도리탕,4,1,3,TRUE
닭찜_간장,4,1,3,FALSE
돌나물무침,4,1,3,FALSE
돼지고기볶음_돼지고기_오징어,4,1,3,FALSE
돼지사태찜,4,1,3,FALSE
된장국_얼갈이배추,4,1,3,FALSE
라떼_딸기 라떼,4,1,3,FALSE
만두국_고기만두,4,1,3,FALSE
무생채,4,1,3,FALSE
미역국_소고기,4,1,3,FALSE
북어국_콩나물,4,1,3,FALSE
소갈비찜,4,1,3,FALSE
스무디_자바칩 프라페,4,1,3,FALSE
스파게티,4,1,3,TRUE
어묵국,4,1,3,TRUE
에이드_깔라만시 에이드,4,1,3,FALSE
오징어조림,4,1,3,FALSE
와플_플레인 와플,4,1,3,TRUE
제육볶음_오징어,4,1,3,FALSE
짜장면,4,1,3,FALSE
커피_바닐라 라떼 아이스(ICED) (R),4,1,3,TRUE
커피_아메리카노,4,1,3,FALSE
피자_포테이토 피자,4,1,3,FALSE
해물볶음,4,1,3,TRUE
간자장,3,0,3,FALSE
감바스_간편조리세트_감바스 알 아히요,3,0,3,FALSE
고들빼기김치,3,0,3,FALSE
고등어찌개,3,0,3,FALSE
고등어튀김,3,0,3,FALSE
고추잡채,3,0,3,FALSE
고추장볶음,3,0,3,FALSE
고추조림,3,0,3,FALSE
골뱅이무침,3,0,3,FALSE
굴비구이,3,0,3,FALSE
김밥,3,0,3,FALSE
김부각,3,0,3,FALSE
깍두기,3,0,3,FALSE
꼬막찜,3,0,3,FALSE
꽁치구이,3,0,3,FALSE
꽁치조림,3,0,3,FALSE
꽈리고추볶음_잔멸치,3,0,3,FALSE
꽈리고추찜,3,0,3,FALSE
낙지무침,3,0,3,FALSE
냉면_물냉면,3,0,3,FALSE
녹차_녹차 아이스(ICED),3,0,3,FALSE
녹차_녹차 핫(HOT),3,0,3,FALSE
느타리버섯볶음,3,0,3,FALSE
다시마튀각,3,0,3,FALSE
닭찜,3,0,3,FALSE
대구 매운탕,3,0,3,FALSE
더덕구이,3,0,3,FALSE
동태조림,3,0,3,FALSE
돼지갈비구이_간장,3,0,3,FALSE
돼지고기볶음_짜장,3,0,3,FALSE
된장찌개_달래,3,0,3,FALSE
된장찌개_바지락,3,0,3,FALSE
두부 청국장찌개_김치,3,0,3,FALSE
두부냉채,3,0,3,FALSE
떡국_소고기,3,0,3,FALSE
라떼_민트초코 라떼 핫(HOT),3,0,3,FALSE
라떼_밀크티 라떼 아이스(ICED),3,0,3,FALSE
라조기,3,0,3,FALSE
막국수,3,0,3,FALSE
멕시컨샐러드,3,0,3,FALSE
미나리 초무침,3,0,3,FALSE
미나리무침,3,0,3,FALSE
미역 오이무침,3,0,3,FALSE
밀크티/버블티_블랙 밀크티 아이스(ICED) (L),3,0,3,FALSE
밀크티/버블티_블랙 밀크티 핫(HOT) (L),3,0,3,FALSE
밀크티/버블티_얼그레이 밀크티 아이스(ICED),3,0,3,FALSE
밀크티/버블티_타로 버블티,3,0,3,FALSE
북어국_무_두부,3,0,3,FALSE
삶은 땅콩 조림,3,0,3,FALSE
새우전,3,0,3,FALSE
새우젓국,3,0,3,FALSE
설렁탕,3,0,3,FALSE
세발낙지볶음,3,0,3,FALSE
소고기전골,3,0,3,FALSE
스무디_망고 스무디,3,0,3,FALSE
스무디_애플망고 스무디,3,0,3,FALSE
쑥 된장국,3,0,3,FALSE
아이스크림_초코 아이스크림,3,0,3,FALSE
아이스티_아이스티,3,0,3,FALSE
양미리조림,3,0,3,FALSE
양장피,3,0,3,FALSE
양파볶음,3,0,3,FALSE
오믈렛,3,0,3,FALSE
오이냉국,3,0,3,FALSE
오이무침,3,0,3,FALSE
오이소박이,3,0,3,FALSE
오이장아찌,3,0,3,FALSE
우럭구이,3,0,3,FALSE
유산슬,3,0,3,FALSE
잔멸치볶음_꽈리고추,3,0,3,FALSE
장어매운탕,3,0,3,FALSE
제육(돼지고기 수육),3,0,3,FALSE
조기찜,3,0,3,FALSE
찰밥,3,0,3,FALSE
취나물무침,3,0,3,FALSE
칼국수_닭고기,3,0,3,FALSE
커피_디카페인 아메리카노 아이스(ICED),3,0,3,FALSE
커피_디카페인 아메리카노 핫(HOT),3,0,3,FALSE
커피_아인슈페너 핫(HOT),3,0,3,FALSE
커피_카라멜 마끼아또 아이스(ICED) (L),3,0,3,FALSE
커피_카페모카,3,0,3,FALSE
커피_카푸치노 아이스(ICED) (L),3,0,3,FALSE
콩나물국,3,0,3,FALSE
콩나물무침_고춧가루,3,0,3,FALSE
콩나물무침_소금,3,0,3,FALSE
파래무침_무,3,0,3,FALSE
팔보채,3,0,3,FALSE
팥빵_호두과자,3,0,3,FALSE
풋마늘무침,3,0,3,FALSE
피자_치즈 피자,3,0,3,FALSE
피자_핫치킨쉬림프 피자 (L),3,0,3,FALSE
홍차_얼그레이,3,0,3,FALSE
홍합 무국,3,0,3,FALSE
베이글_플레인 베이글,15,13,2,TRUE
피자_치즈 피자 (L),14,12,2,TRUE
커피_카푸치노 아이스(ICED),10,8,2,TRUE
피자_콤비네이션 피자 (L),10,8,2,TRUE
